matricula,subtipo
R0028BDN,LONA
R0140BDN,LONA
R0254BDD,PORTABOBINAS
R0255BDD,PORTABOBINAS
R0256BDD,PORTABOBINAS
R0423BCW,FRIGO
R0654BCX,LONA
R0673BDB,LONA
R0676BDC,FRIGO
R0677BDC,FRIGO
R0803BDJ,LONA
R0804BDJ,LONA
R0805BDJ,LONA
R0863BDF,FRIGO
R0868BDL,FRIGO
R0869BDL,FRIGO
R0870BDL,FRIGO
R1001BDM,FRIGO
R1009BDF,FRIGO
R1011BDF,FRIGO
R1074BDD,PORTABOBINAS
R1113BCZ,FRIGO
R1704BDG,FRIGO
R1708BDG,FRIGO
R1710BDB,FRIGO
R1711BDB,FRIGO
R1777BDG,FRIGO
R1778BDG,FRIGO
R1779BDG,FRIGO
R1811BDC,FRIGO
R1812BDC,FRIGO
R1883BDH,FRIGO
R1884BDH,FRIGO
R1885BDH,FRIGO
R1894BDJ,FRIGO
R1967BDB,FRIGO
R2045BDL,ASTILLERA
R2184BDG,FRIGO
R2185BDG,FRIGO
R2327BDF,FRIGO
R2350BDL,FRIGO
